Instance 10		m=3	n=30																											
																														
Setup time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
1		20	29	10	26	24	50	3	31	5	21	9	32	18	50	24	31	22	15	8	16	40	1	7	9	10	35	44	30	37
2	39		9	21	41	2	15	4	9	37	19	29	47	35	32	17	21	16	1	30	30	28	21	46	14	6	46	14	1	18
3	32	26		32	30	34	26	25	49	28	50	2	35	40	34	45	34	44	8	10	19	37	8	32	41	11	36	39	41	18
4	34	16	24		49	36	25	26	45	44	25	6	19	9	49	10	48	50	37	36	50	36	17	24	48	40	15	9	17	8
5	4	22	45	50		5	21	2	18	36	5	1	23	11	46	3	26	4	39	38	20	47	8	41	3	14	21	20	13	17
6	39	42	11	9	13		48	25	11	3	30	4	16	45	37	13	8	32	17	15	5	36	35	41	30	7	50	3	14	40
7	10	24	35	19	24	17		38	31	18	29	28	46	29	43	22	48	40	44	8	30	48	40	2	24	29	31	20	49	21
8	26	19	21	19	11	36	10		6	30	37	42	45	19	13	12	17	20	25	45	3	35	47	23	29	19	43	4	36	15
9	14	12	34	4	14	38	23	1		21	43	7	16	2	20	49	5	10	49	30	47	49	23	45	29	50	9	42	50	21
10	20	28	38	32	7	49	15	22	1		9	36	44	30	4	45	3	9	29	42	6	34	27	31	3	25	27	49	28	39
11	50	31	11	1	49	13	36	45	15	33		43	5	48	38	22	33	38	22	34	44	29	6	36	6	10	40	30	12	15
12	36	4	10	12	4	33	35	11	2	6	26		35	2	9	45	9	37	35	42	29	29	1	7	4	44	34	18	43	43
13	38	20	14	46	31	26	5	20	13	49	27	24		21	24	10	10	12	48	11	40	24	4	1	26	33	1	36	17	36
14	13	49	39	12	49	6	35	40	15	36	18	32	46		16	49	3	13	50	39	45	27	20	3	33	49	3	13	38	8
15	47	30	30	18	5	13	41	40	28	31	14	8	26	41		13	49	43	26	18	7	21	44	43	15	43	17	34	33	11
16	13	29	27	1	1	48	47	12	30	25	4	39	5	9	42		12	44	9	29	24	8	31	5	17	44	3	2	24	31
17	37	37	2	20	23	33	7	12	44	9	24	3	47	43	31	11		36	10	24	34	29	36	23	11	50	46	14	14	37
18	32	1	30	14	47	29	38	15	40	34	34	22	27	25	41	50	45		45	10	24	35	44	14	21	20	2	32	36	42
19	23	27	37	27	25	15	3	30	34	5	22	28	42	12	39	47	48	1		28	1	42	46	12	4	40	10	39	26	38
20	19	28	35	50	40	36	13	47	29	44	39	24	43	17	3	37	22	38	35		36	50	15	9	11	4	50	8	36	1
21	33	12	19	15	28	10	17	23	38	7	47	14	23	44	34	8	23	18	4	15		31	14	18	46	26	33	18	42	49
22	8	27	9	34	4	7	11	25	49	43	5	22	46	28	35	46	12	44	40	33	40		23	8	16	38	7	46	49	2
23	31	21	19	26	27	41	28	9	18	2	46	23	5	31	13	34	10	25	28	28	37	18		26	7	46	31	34	35	35
24	11	30	27	33	49	27	30	48	26	6	35	7	3	35	21	33	40	33	30	18	19	6	45		5	11	14	8	26	11
25	31	11	10	3	47	41	46	17	9	31	19	41	48	20	21	36	35	19	50	14	23	36	42	22		27	30	40	2	23
26	3	9	14	10	46	27	42	49	47	26	33	18	1	28	10	14	8	40	14	37	44	24	22	45	11		45	22	19	18
27	44	34	25	50	47	18	30	2	5	38	15	43	47	6	29	39	11	14	25	11	1	4	13	38	40	4		42	33	25
28	22	43	25	18	8	11	49	32	15	19	2	5	4	22	23	14	2	29	5	28	13	23	36	16	38	26	46		6	5
29	40	16	5	39	26	8	1	44	41	22	50	50	15	37	23	32	9	39	17	43	11	22	42	11	4	16	46	43		39
30	31	21	39	49	40	21	6	46	31	5	48	7	49	25	41	23	32	38	14	8	41	25	17	17	16	2	10	29	34	
																														
Processing Time	108	137	61	110	110	64	132	120	81	57	123	97	70	54	89	54	117	83	142	75	83	124	101	104	68	103	101	111	147	77
																														
Machine availability	Jobs 1, 2, 3, 4, 5	��	{M1}
Machine availability	Jobs 6, 7, 8, 9, 10, 11	��	{M1, M3}
Machine availability	Jobs 20, 25, 30	��	{M2, M3}
