Instance 7		m=3	n=20																	
																				
Setup time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1		11	2	7	12	18	34	30	9	2	1	9	37	25	12	46	22	34	45	48
2	30		34	31	46	12	22	39	15	35	17	15	23	11	7	7	31	14	13	10
3	48	38		47	41	29	42	43	24	18	33	32	26	17	48	44	19	1	9	24
4	16	22	23		9	35	34	10	27	17	37	48	8	4	41	42	48	5	25	1
5	32	14	45	33		22	32	16	19	25	29	7	34	37	40	31	34	10	47	38
6	48	40	30	48	11		23	21	43	37	34	27	14	9	41	36	10	13	24	39
7	23	34	26	14	47	15		28	6	20	1	47	46	17	42	37	43	23	21	24
8	10	4	39	46	42	46	46		34	10	14	7	13	44	38	13	26	8	44	29
9	6	10	3	47	32	15	36	32		44	2	36	2	15	2	26	34	27	49	18
10	50	49	28	29	33	22	38	13	30		42	32	20	34	18	30	8	1	6	45
11	9	27	50	42	11	30	8	26	43	19		39	11	16	10	24	40	22	42	49
12	23	29	6	3	46	29	24	33	20	5	12		25	41	25	45	36	41	39	11
13	10	41	38	44	29	18	10	41	39	43	38	19		2	12	8	36	40	41	36
14	15	21	25	20	1	6	46	3	36	6	32	2	18		10	27	12	45	19	48
15	32	7	7	15	31	21	30	47	25	29	9	27	26	7		17	47	40	22	29
16	45	11	25	27	40	4	35	13	11	24	17	22	44	43	17		4	3	29	41
17	7	21	40	48	16	1	23	26	11	48	48	47	19	5	39	7		41	8	14
18	8	46	43	24	45	1	40	46	44	1	3	31	22	20	49	35	46		29	28
19	50	40	29	49	22	40	41	47	6	13	22	1	18	44	2	17	37	23		31
20	10	27	10	46	25	37	32	20	13	24	38	19	26	7	13	24	41	18	46	
																				
Processing Time	77	100	108	58	93	126	85	68	99	73	108	126	96	60	144	115	106	71	128	52
																				
No precedence constraints																				
																				
No machine availablity constraints
